name,worker_id,age,full_week_salary,shifts_worked,salary_per_shift,total_salary
Elois Dauer,w_eec83a9b-610a-48fb-9040-e391d9692e58,59,6627.72706934291,6,473.40907638163645,2840.454458289819
Marlene Dobles,w_69135bbe-3365-4353-ab0d-abe49015fb5c,63,6539.68571134688,6,467.1204079533486,2802.7224477200916
Ken Miller,w_9b0bfe06-409e-4866-ab96-21709191b551,24,7631.905250110981,6,545.1360892936415,3270.816535761849
Brian Banks,w_be8eb9db-73c8-4d51-ac7a-450b17455d27,62,7290.348946465436,2,520.7392104618168,1041.4784209236336
Cynthia Molina,w_f7b7dcda-ef14-42fc-a7a7-c805b5a9474f,43,6358.1512334648605,5,454.15365953320435,2270.7682976660217
Jimmy Guzman,w_11c128a5-fa36-49b9-b6ae-eedf066abaa3,27,8015.518888230962,2,572.5370634450687,1145.0741268901374
Andrew Gauthier,w_266fa275-b1fe-466e-93da-bb363aa58c0e,19,6321.271319344672,5,451.5193799531908,2257.5968997659543
Carl Kennedy,w_10ab8df4-26ea-4db8-a649-6fefad6a49a2,23,5839.273573572694,2,417.0909695409067,834.1819390818134
Lauren Brooks,w_d740daac-dd0f-4b9e-977f-4b442acfad71,51,7101.2549467705185,3,507.2324961978942,1521.6974885936825
Christopher Arlington,w_88067ac3-6a87-4b86-9458-32c5087cbc03,46,7168.348907908999,2,512.0249219934999,1024.0498439869998
Dionne Woods,w_950bc171-1af2-41d1-a43e-fbaddfa8a387,54,7793.390464644117,1,556.6707474745798,556.6707474745798
John Stevens,w_7c52449a-88b4-433c-97b4-fb8ca91ea772,52,6120.7722749564255,3,437.1980196397447,1311.5940589192342
Peter Taylor,w_806ae0ec-9c7e-404f-9f97-6ef53d65e3db,29,6643.227606153847,1,474.5162575824176,474.5162575824176
Gary Mckinney,w_e4193eab-ed9e-4e3e-82d4-5e216a374082,34,7719.309975479592,4,551.379283962828,2205.517135851312
Willie Flook,w_c35581b2-ae72-40ab-9b9e-2b50855fab51,47,5677.153739552245,2,405.5109813965889,811.0219627931777
Alex Jennings,w_f8f44e7b-d583-433c-9b4a-33aa057cd36c,51,5841.769160157289,6,417.26922572552064,2503.6153543531236
James Brodeur,w_2515d9cb-fa99-471d-9c2c-0f31159edf90,28,6017.997968811352,9,429.8569977722394,3868.712979950155
Kelly Escutia,w_5b12c0fe-e518-49e1-992e-710c2bf6844f,63,5488.657757226228,6,392.04698265901624,2352.2818959540973
Dan Mendez,w_864f7b4b-6a2a-4019-8a50-89a7239eb55b,27,8031.119307981287,5,573.6513791415206,2868.256895707603
Richard Booth,w_6014552c-3ee9-48ac-b473-37cf5c8bbf41,25,7545.786245007138,1,538.9847317862242,538.9847317862242
Brian Caudill,w_b3ed65d9-01d5-4ddb-b844-daaaa845d893,47,7854.5265864857665,2,561.0376133204119,1122.0752266408238
Lori Hawkins,w_fe2e429a-0254-4d7c-84aa-f0b9f193a02a,46,6804.69361942612,1,486.0495442447228,486.0495442447228
Geneva Coleman,w_f5a7d9cd-59da-461f-b23e-9374363c6623,64,7209.924218390504,2,514.9945870278932,1029.9891740557864
Marguerite Holbach,w_eefbc433-9ac0-468e-a915-bdc859bd9f4a,29,6149.368912956003,1,439.2406366397145,439.2406366397145
Robin Batts,w_6bf843a9-91a6-4595-b600-51292c96533b,42,6718.936749003077,2,479.9240535002198,959.8481070004397
Jose Simonetti,w_0fd0aea5-3dbf-423f-9fa3-1b7d7cebbe5b,40,7482.649848086002,1,534.4749891490002,534.4749891490002
Kenneth Bourque,w_e5ad32bf-44c0-43f8-b17a-6503cbf508c2,55,6325.748184678552,2,451.839156048468,903.678312096936
Deborah Bolden,w_143ce6d4-f57c-46da-b258-b6a493732ad7,63,7611.8392958212125,1,543.7028068443723,543.7028068443723
Samantha Reyes,w_13664a99-7245-46d4-9cba-277b172a9ffa,52,6047.87142018561,2,431.9908157275436,863.9816314550872
Jessica Hanley,w_67fe78dd-38ab-412d-a47e-0a0a8733c222,55,7058.859313300148,1,504.2042366642963,504.2042366642963
